algorithm,method,couriers,mean,std,min,max
hc,distribute,4,7.131111020217048,0.4428147434489423,5.94193413903976,8.970405885607484
hc,distribute,5,5.735078156287671,0.3093377331067667,4.831883773170352,7.116857957508791
hc,distribute,6,4.985381688759881,0.3189115400883597,3.998156188198764,6.420523102907036
hc,random2,2,11.781845434564701,0.47762277556335175,10.451885800172166,13.171879728144773
hc,random2,3,8.2162285527097,0.33842076693033446,7.15325331580971,9.488377497744008
hc,random2,4,6.453109824433382,0.27018377624041395,5.64182614283481,7.656611860174726
hc,random2,5,5.468335713372916,0.20974766824163626,4.782324105871121,6.351231330615239
hc,random2,6,4.902909030712634,0.22804767634851653,4.345158351942058,5.615329101058218
sa,insert,1,30.527241679618534,1.4243283778936973,25.386911642100536,36.38266647165758
sa,insert,2,20.61274139761321,0.8572772926191803,18.027201410280668,23.419511780207042
sa,insert,3,16.499613795332717,0.6461772193783761,14.725190786227534,18.612152342875575
sa,insert,4,14.0416241385086,0.5520950849126686,12.413880881592604,15.99325509844924
sa,insert,5,12.3902883229357,0.47591815234045054,10.734321389767493,14.133310863973882
sa,insert,6,11.174984447374243,0.4096113530235024,9.939768147275155,12.839243194000202
sa,swap,1,37.16473921640232,1.8396216557103622,32.3563805306413,43.2592457728348
sa,swap,2,22.54783625369202,1.030373660378944,18.564952268390698,26.271514370480492
sa,swap,3,17.04708271910277,0.7008627732145516,14.978670219698364,19.159711960338658
sa,swap,4,14.105257338584531,0.5757750093134706,12.398973171258177,16.187690888198595
sa,swap,5,12.299401580525915,0.47270046531652093,10.708816777889476,14.114051542641661
sa,swap,6,11.014325831660791,0.41910827523673966,9.402913071382791,12.555050321267547
sa,reverse,1,23.296246151192115,0.7374577866409951,20.55494729499527,25.592278447690262
sa,reverse,2,18.659245679137722,0.7930496359522258,15.714201440661338,21.173424402851627
sa,reverse,3,17.045468139617245,0.7171599022929666,15.005130475791015,19.484625863976945
sa,reverse,4,15.790188146006079,0.6698782440779453,13.410050659869974,18.259702657725178
sa,reverse,5,14.595581734948205,0.5764275833554188,12.887865252983358,17.002585895302428
sa,reverse,6,13.486338229268542,0.5398583148732113,11.686697520276372,15.000337489715625
sa,random,1,25.140819601884576,0.8611546389177789,21.772041852934052,27.74879411507168
